"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20170726","CanopyArea_20170802","CanopyArea_20170809","CanopyArea_20170812","CanopyArea_20170813","CanopyArea_20170814","CanopyArea_20170819","CanopyArea_20170829","CanopyArea_20170904","CanopyArea_20170905","CanopyArea_20170909","CanopyArea_20170910","CanopyArea_20170911","CanopyArea_20170919","CanopyArea_20170920","CanopyArea_20170921"
NA,2017,"Tottori","Jul",126,"GmJMC126","D1",46,NA,0.050247478,0.128823997,0.208286159,0.30724272,0.322020632,0.351182946,0.374653889,0.460227526,0.388454266,0.461451433,0.486575,0.470012836,0.471565447,0.428931448,0.480136943,0.460677949
NA,2017,"Tottori","Jul",75,"GmWMC075","D1",47,NA,0.065906399,0.131759122,0.227078663,0.36181355,0.375962183,0.422918038,0.442944442,0.546045224,0.386486183,0.490947448,0.46653125,0.454779141,0.428616177,0.37280239,0.420135202,0.376152185
NA,2017,"Tottori","Jul",47,"GmJMC047","D1",48,NA,0.038785496,0.061840043,0.127771661,0.215281186,0.207269973,0.277312979,0.29811839,0.396224262,0.315686712,0.37500173,0.35810625,0.358102077,0.325064801,0.239115178,0.310320149,0.299232788
NA,2017,"Tottori","Jul",65,"GmJMC065","D1",49,NA,0.033003852,0.026183933,0.063898231,0.082717233,0.060146783,0.088102472,0.080159954,0.169040477,0.131964609,0.153075525,0.168275,0.159411305,0.133136137,0.127865608,0.160489462,0.141564881
NA,2017,"Tottori","Jul",128,"GmJMC128","D1",50,NA,0.03039162,0.04503303,0.081419713,0.114483188,0.086536666,0.131634303,0.164649888,0.223555175,0.203938747,0.233316943,0.1659625,0.19494189,0.174747071,0.154607045,0.185280341,0.182621981
NA,2017,"Tottori","Jul",70,"GmWMC070","D1",51,NA,0.05312021,0.155484218,0.216550893,0.291886532,0.270581805,0.302784253,0.231736901,0.198475705,0.159043784,0.106673258,0.172875,0.164677382,0.073910066,0.132748566,0.087542338,0.085675363
NA,2017,"Tottori","Jul",115,"GmWMC115","D1",52,NA,0.049523868,0.129913506,0.18974786,0.286777243,0.265690366,0.317744742,0.323537998,0.329661723,0.268298156,0.313971358,0.3064125,0.30618226,0.308222505,0.361169166,0.34788998,0.325682204
NA,2017,"Tottori","Jul",87,"GmWMC087","D1",53,NA,0.03456685,0.109540286,0.199711421,0.28925825,0.255245162,0.301794522,0.27843981,0.251272338,0.173582869,0.162867563,0.2191125,0.228311355,0.193314124,0.248222045,0.250159213,0.205112628
NA,2017,"Tottori","Jul",17,"GmJMC017","D1",54,NA,0.05427075,0.141409907,0.192754909,0.2885502,0.284783807,0.312771545,0.304440437,0.374844691,0.329174779,0.36732797,0.338775,0.323383015,0.378994079,0.37046576,0.391842051,0.374769209
NA,2017,"Tottori","Jul",6,"GmWMC006","D1",55,NA,0.046166318,0.099407259,0.131727325,0.233192019,0.193181978,0.235515223,0.152137216,0.16234644,0.123659504,0.11611891,0.13829375,0.136600457,0.089762748,0.16775808,0.169143838,0.149361408
NA,2017,"Tottori","Jul",91,"GmJMC091","D1",56,NA,0.108346125,0.194855374,0.26533328,0.355628025,0.369148913,0.403303358,0.437860521,0.519960579,0.482262792,0.532820065,0.53969375,0.512009141,0.558378201,0.504312742,0.541542488,0.516498318
NA,2017,"Tottori","Jul",134,"GmWMC134","D1",57,NA,0.022258244,0.079813962,0.128825678,0.21600623,0.217693461,0.249322388,0.255800796,0.292577185,0.174829665,0.229586643,0.21851875,0.232148446,0.240891019,0.213771725,0.260311461,0.244173056
NA,2017,"Tottori","Jul",185,"GmWMC185","D1",58,NA,0.069090283,0.1443748,0.19651837,0.301651958,0.28803029,0.3230942,0.244235739,0.27141861,0.2292044,0.227881363,0.27895625,0.300219332,0.324018637,0.316243952,0.348635298,0.317444854
NA,2017,"Tottori","Jul",4,"GmJMC004","D1",59,NA,0.060262241,0.136920893,0.186802813,0.270361812,0.243301582,0.277124848,0.207645338,0.20434279,0.157796987,0.139419963,0.132125,0.155433079,0.114823557,0.141655722,0.153246126,0.131659315
NA,2017,"Tottori","Jul",101,"GmJMC101","D1",60,NA,0.083533538,0.164241963,0.248295405,0.33240965,0.335712318,0.368556417,0.299107507,0.334530761,0.307958637,0.343120988,0.33000625,0.359239973,0.383480331,0.33885135,0.395264726,0.3781575
NA,2017,"Tottori","Jul",38,"GmWMC038","D1",61,NA,0.064509832,0.149727086,0.218497724,0.335955564,0.317655797,0.362495333,0.271087145,0.317735073,0.209255663,0.202515323,0.14218125,0.261918984,0.167734945,0.13040195,0.17030885,0.141953843
NA,2017,"Tottori","Jul",1137,"Nagoyadai4","D1",62,NA,0.045609138,0.112654019,0.178482279,0.276943845,0.253562203,0.28670316,0.255745461,0.310542013,0.253058392,0.253633755,0.2274,0.299337242,0.254792747,0.257977976,0.294871075,0.270302659
NA,2017,"Tottori","Jul",225,"UA-4805","D1",63,NA,0.053793167,0.128377477,0.191322686,0.311547664,0.306417974,0.331870911,0.324928294,0.366040499,0.351812886,0.323083948,0.31786875,0.35469721,0.31527233,0.351772717,0.388788417,0.343081771
