"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20170726","CanopyArea_20170802","CanopyArea_20170809","CanopyArea_20170812","CanopyArea_20170813","CanopyArea_20170814","CanopyArea_20170819","CanopyArea_20170829","CanopyArea_20170904","CanopyArea_20170905","CanopyArea_20170909","CanopyArea_20170910","CanopyArea_20170911","CanopyArea_20170919","CanopyArea_20170920","CanopyArea_20170921"
NA,2017,"Tottori","Jul",19,"GmWMC019","C1",38,NA,0.035268751,0.119804293,0.189921463,0.260636037,0.265831517,0.296085161,0.330496399,NA,0.360705325,0.386738853,0.389525,0.418172406,0.392245488,0.29682196,0.298547014,0.220273502
NA,2017,"Tottori","Jul",96,"GmJMC096","C1",39,NA,0.065320275,0.17658973,0.270070156,0.399374186,0.421640947,0.497401476,0.583143088,NA,0.848759021,0.897390278,0.92308125,1.023100907,0.919719442,0.647026938,0.679838831,0.568083323
NA,2017,"Tottori","Jul",132,"GmWMC132","C1",40,NA,0.065305803,0.153376643,0.241847301,0.37323298,0.406005715,0.471406707,0.584229042,NA,0.882226738,0.892354373,0.94155,0.939637552,0.931575966,0.802802298,0.845241605,0.650033294
NA,2017,"Tottori","Jul",57,"GmJMC057","C1",41,NA,0.061000323,0.144862995,0.224201816,0.332755178,0.354192294,0.416366179,0.548205826,NA,0.830087992,0.841635615,0.8824375,0.899520098,0.864112532,0.748650389,0.76400191,0.659619047
NA,2017,"Tottori","Jul",75,"GmWMC075","C1",42,NA,0.080248349,0.201362659,0.277504076,0.4025066,0.427965616,0.493614321,0.561590028,NA,0.693878094,0.700203955,0.67980625,0.691329217,0.692070407,0.547849958,0.57092829,0.393413454
NA,2017,"Tottori","Jul",206,"C1290","C1",43,NA,0.045023014,0.116648885,0.195619355,0.293098714,0.315853402,0.372400829,0.457490683,NA,0.761957283,0.776888265,0.80358125,1.045311934,0.816950332,0.705912021,0.701699089,0.674347741
NA,2017,"Tottori","Jul",172,"GmJMC172","C1",44,NA,0.023539033,0.098889296,0.178395477,0.305996552,0.325989158,0.392146383,0.506123407,NA,1.084856864,1.100944755,1.19105625,1.306578171,1.216405869,1.002174787,0.987279012,0.97857653
NA,2017,"Tottori","Jul",127,"GmWMC127","C1",45,NA,0.069437616,0.184948584,0.285241801,0.406443358,0.430555201,0.461255824,0.558352919,NA,0.956725381,0.961151763,1.01980625,1.210086346,1.063317218,0.927881923,0.928601477,0.880160501
NA,2017,"Tottori","Jul",182,"GmWMC182","C1",46,NA,0.041795714,0.116410741,0.247148386,0.355333476,0.397449769,0.451325789,0.567254969,NA,0.949368254,0.94616395,1.01065,1.198795594,1.065041975,0.915859261,0.91161835,0.869632596
NA,2017,"Tottori","Jul",53,"GmJMC053","C1",47,NA,0.06657212,0.157085736,0.271396977,0.403509198,0.429208834,0.496788006,0.617291824,NA,0.799958804,0.76540427,0.79695625,0.882486941,0.84260491,0.821934707,0.81550847,0.703563109
