"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20180722","CanopyArea_20180723","CanopyArea_20180724","CanopyArea_20180725","CanopyArea_20180726","CanopyArea_20180727","CanopyArea_20180728","CanopyArea_20180731","CanopyArea_20180801","CanopyArea_20180802","CanopyArea_20180803","CanopyArea_20180804","CanopyArea_20180805","CanopyArea_20180807","CanopyArea_20180808","CanopyArea_20180809","CanopyArea_20180810","CanopyArea_20180812","CanopyArea_20180813","CanopyArea_20180814","CanopyArea_20180817","CanopyArea_20180818","CanopyArea_20180820","CanopyArea_20180825","CanopyArea_20180827","CanopyArea_20180828"
NA,2018,"Tottori","Jul",98,"GmJMC098","C2",93,0,0.01065,0.01256,0.01976,0.01655,0.0136,0.0199,0.03784,0.0526,0.06042,0.07959,0.09857,0.10777,0.11598,0.19216,0.19671,0.27954,0.29329,0.38557,0.39169,0.34741,0.48898,0.47908,0.55877,0.51452,0.60775,0.64329
NA,2018,"Tottori","Jul",184,"GmJMC184","C2",94,0,0.01034,0.01392,0.01978,0.01966,0.01468,0.01943,0.03702,0.05302,0.0542,0.07314,0.09413,0.09803,0.10498,0.14931,0.18306,0.22787,0.24982,0.30867,0.33361,0.29503,0.38339,0.41967,0.49471,0.44375,0.53901,0.58937
NA,2018,"Tottori","Jul",5,"GmJMC005","C2",95,0,0.01356,0.02077,0.02899,0.02736,0.0273,0.02899,0.05219,0.06519,0.07144,0.08403,0.10093,0.11035,0.12402,0.14933,0.17894,0.22591,0.24151,0.30666,0.3115,0.27484,0.33929,0.33583,0.38163,0.3428,0.35606,0.39819
NA,2018,"Tottori","Jul",142,"GmWMC142","C2",96,0,0.00439,0.00729,0.01034,0.00962,0.00885,0.01214,0.02394,0.03557,0.04566,0.05574,0.0839,0.07994,0.09332,0.12742,0.15786,0.22521,0.25763,0.31086,0.35686,0.30699,0.40818,0.39874,0.48068,0.44014,0.5317,0.57838
NA,2018,"Tottori","Jul",178,"GmWMC178","C2",97,0,0.00449,0.00892,0.01378,0.01417,0.01213,0.01158,0.03073,0.04972,0.05764,0.07762,0.08587,0.08332,0.10288,0.15189,0.16738,0.25704,0.27978,0.36671,0.37038,0.31194,0.4081,0.3906,0.45313,0.35194,0.51033,0.52511
NA,2018,"Tottori","Jul",186,"GmWMC186","C2",98,0,2e-04,0.00069,0.00259,0.00152,0.0015,0.00203,0.00702,0.01144,0.01236,0.01105,0.0241,0.01987,0.0159,0.01919,0.02784,0.07901,0.09137,0.1068,0.17105,0.10102,0.25367,0.25334,0.33463,0.3033,0.36751,0.4472
NA,2018,"Tottori","Jul",189,"GmWMC189","C2",99,0,0.00756,0.01098,0.01574,0.01556,0.0124,0.01581,0.0274,0.04209,0.04589,0.05933,0.08145,0.07896,0.09904,0.13406,0.17816,0.22227,0.24822,0.31051,0.35987,0.32741,0.397,0.41336,0.4942,0.47234,0.55433,0.59147
NA,2018,"Tottori","Jul",224,"5002T","C2",100,0,0.00713,0.00937,0.0126,0.01159,0.01022,0.01387,0.02845,0.03863,0.04466,0.0541,0.0705,0.0749,0.08581,0.14808,0.14304,0.2052,0.2197,0.30881,0.31319,0.2737,0.38817,0.35767,0.42948,0.43246,0.47487,0.51143
NA,2018,"Tottori","Jul",181,"GmWMC181","C2",101,0,0.01452,0.0198,0.02275,0.01944,0.02221,0.02309,0.03245,0.05227,0.06603,0.0689,0.09016,0.10119,0.12327,0.16418,0.17056,0.21015,0.22246,0.27191,0.29252,0.2975,0.32242,0.3541,0.40662,0.59703,0.59886,0.68514
NA,2018,"Tottori","Jul",58,"GmJMC058","C2",102,0,0.01446,0.01757,0.02243,0.01687,0.01748,0.01617,0.0409,0.05834,0.06568,0.09045,0.11286,0.12546,0.14206,0.18632,0.22615,0.25403,0.29761,0.32136,0.37379,0.3705,0.35091,0.40164,0.46339,0.57535,0.56337,0.61621
NA,2018,"Tottori","Jul",74,"GmWMC074","C2",103,0,0.00852,0.0099,0.01245,0.01007,0.01318,0.01622,0.0273,0.04841,0.07199,0.08612,0.11498,0.13252,0.15196,0.18593,0.21823,0.24664,0.28068,0.30353,0.34487,0.35045,0.34606,0.39289,0.46167,0.56642,0.52566,0.59452
NA,2018,"Tottori","Jul",7,"GmJMC007","C2",104,0,0.01764,0.0199,0.02638,0.02661,0.03081,0.03495,0.05222,0.0754,0.08273,0.12424,0.13998,0.14635,0.17463,0.19714,0.22323,0.2353,0.26487,0.30736,0.32747,0.31755,0.29598,0.30668,0.34458,0.45009,0.41663,0.4573
NA,2018,"Tottori","Jul",21,"GmJMC021","C2",105,0,0.02181,0.02396,0.02933,0.02827,0.03039,0.03239,0.05553,0.07368,0.09131,0.11474,0.14716,0.15915,0.17786,0.24082,0.25207,0.29671,0.31835,0.36739,0.39356,0.37789,0.35622,0.38651,0.42651,0.53602,0.52181,0.57032
NA,2018,"Tottori","Jul",182,"GmWMC182","C2",106,0,0.01043,0.01432,0.01604,0.01456,0.01731,0.0182,0.03232,0.05991,0.06614,0.08361,0.11029,0.1225,0.13556,0.17023,0.22627,0.26849,0.30828,0.3532,0.38811,0.39167,0.43449,0.46918,0.52064,0.73396,0.73272,0.83863
NA,2018,"Tottori","Jul",109,"GmWMC109","C2",107,0,0.01604,0.02127,0.02531,0.02608,0.02593,0.03402,0.05219,0.08156,0.09199,0.11496,0.14107,0.15596,0.19131,0.21791,0.24179,0.25278,0.29454,0.34393,0.38278,0.37767,0.37292,0.44465,0.50399,0.79413,0.78688,0.93101
NA,2018,"Tottori","Jul",139,"GmJMC139","C2",108,0,0.02954,0.03528,0.04057,0.04686,0.04761,0.05106,0.07833,0.11347,0.12433,0.1674,0.20106,0.22023,0.27668,0.33075,0.36043,0.38439,0.43671,0.50349,0.55201,0.54607,0.53504,0.62673,0.72628,0.88935,0.83796,0.98749
