"","LAIamp","a","b","Ts","Ti"
"C1329_y2018_D1-0028",0.0620243028658991,0.0264734366941765,0.00450001258504418,2333.33333333333,550
"C1329_y2018_D2-0118",0.0795677936940873,0.0244732773830695,0.0045197547036574,2200,616.666666666667
"C1329_y2019_W1-0103",0.72862977221377,0.0217174521560482,0.00905910027646587,2200,816.666666666667
"C1329_y2019_W4-0069",0.0789507605697354,0.0280558056901744,0.00311055328329481,2200,950
"GmJMC002_y2018_C1-0118",0.458178235239732,0.0126578693776974,0.00914990959738784,2333.33333333333,666.666666666667
"GmJMC002_y2018_C2-0123",0.312163475503971,0.0136486227892745,0.00939964734503332,2866.66666666667,666.666666666667
"GmJMC002_y2018_D1-0129",0.0687450975046191,0.021126132817648,0.0156023051488735,2333.33333333333,400
"GmJMC002_y2018_D2-0094",0.0643723442895223,0.0179884391921917,0.0138224130723737,2333.33333333333,466.666666666667
"GmJMC002_y2019_W1-0142",0.12646229076237,0.0159433456835997,0.00637598183695888,2466.66666666667,600
"GmJMC002_y2019_W4-0074",0.0146966539472698,0.00436787262891059,0.00200000000357413,2333.33333333333,400
"GmJMC003_y2018_C1-0191",0.564513938080513,0.0229491930025559,0.0114363411613611,2600,666.666666666667
"GmJMC003_y2018_C2-0148",0.563697602621008,0.0232144897391464,0.0108236922517248,2600,666.666666666667
"GmJMC003_y2018_D1-0172",0.0683896105280062,0.0253292164732967,0.0199997844982269,2600,400
"GmJMC003_y2018_D2-0076",0.0983712037307388,0.0241629067344346,0.00635024979334986,3133.33333333333,533.333333333333
"GmJMC003_y2019_W1-0061",0.308390494572878,0.0162318801522927,0.00739634031474306,2866.66666666667,666.666666666667
"GmJMC003_y2019_W4-0087",0.0475442816943202,0.0132645702438226,0.00322561885512698,2866.66666666667,800
"GmJMC004_y2017_C1-0052",0.989093380081157,0.0229271887595835,0.00513076600233439,2066.66666666667,816.666666666667
"GmJMC004_y2017_C2-0074",0.749483627130513,0.0265095785312608,0.00812756510771719,2066.66666666667,683.333333333333
"GmJMC004_y2017_D1-0059",0.294847932864835,0.003000001539966,0.0108283995096604,1533.33333333333,550
"GmJMC004_y2017_D2-0019",0.223118789194104,0.00338290096085006,0.0108092836807764,1400,616.666666666667
"GmJMC004_y2018_C1-0183",0.533829412102023,0.0076854489141519,0.00724601883288321,1266.66666666667,816.666666666667
"GmJMC004_y2018_C2-0178",0.745717231422521,0.0063349276498142,0.00737344417184255,1266.66666666667,883.333333333333
"GmJMC004_y2018_D1-0039",0.06329601962172,0.00436251663805544,0.00369889056425448,1266.66666666667,550
"GmJMC004_y2018_D2-0034",0.0583960270474844,0.00300000003086522,0.00394152774699492,1266.66666666667,550
"GmJMC004_y2019_W1-0122",0.183089284463627,0.00484695608855418,0.00564395748640874,1266.66666666667,950
"GmJMC004_y2019_W4-0154",0.0298241836363924,0.00672568841865562,0.00377988880599407,1266.66666666667,950
"GmJMC005_y2017_C1-0109",0.503782900402763,0.00303947448527915,0.00531673535377927,1533.33333333333,816.666666666667
"GmJMC005_y2017_C2-0189",0.638842689687054,0.0247499355332922,0.0056482090610324,2066.66666666667,683.333333333333
"GmJMC005_y2017_D1-0101",0.332692419357204,0.00451550389926517,0.00801337608971653,1533.33333333333,616.666666666667
"GmJMC005_y2017_D2-0041",0.191122467448728,0.00300000018097869,0.0102197328955897,1533.33333333333,616.666666666667
"GmJMC005_y2018_C1-0032",0.535212748661898,0.0106070740196652,0.00811204129314891,1266.66666666667,750
"GmJMC005_y2018_C2-0095",0.519833760107253,0.00925077589873707,0.00898892089480219,1266.66666666667,750
"GmJMC005_y2018_D1-0143",0.103513882245365,0.00497268858866657,0.00340977060832688,1266.66666666667,750
"GmJMC005_y2018_D2-0032",0.0474384521272777,0.00300000270294821,0.00315924432792996,1400,550
